Hanoi,21.0245,105.84117,Vietnam,Asia/Bangkok,1431270
London,51.50853,-0.12574,United Kingdom,Europe/London,7556900
Tokyo,35.6895,139.69171,Japan,Asia/Tokyo,8336599
Paris,48.85341,2.34880,France,Europe/Paris,2138551
